Name (required),Description,Session Tracks
The Write Stuff:  What You Need To Know About Waste Contract Language ,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
<strong> ABSTRACT:</strong><br>
            <br>
            Attendees will learn to identify and shape key contract provisions to minimize risk and liability and maximize performance from service providers in municipal contracts for residential and commercial franchised collection.
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img alt=""Barry Shanoff"" src=""http://www.swana.org/Portals/0/events/speakers/BarryShanoff.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            Barry Shanoff received his undergraduate and law degrees from Northwestern University.  His clients include local governments and waste authorities throughout the country.  Since 1982, he has served as general counsel for the Solid Waste Association of North America.  Barry has negotiated and written contracts covering put-or-pay arrangements, hauling franchises, privatized landfill operations and management, waste-to-energy projects and landfill gas utilization. As a recognized expert in flow control, he has for many years worked with local officials nationwide in planning and implementing waste facility designation programs. His extensive writing on solid waste issues includes an award-winning legal column that ran for two decades in World Wastes magazine.  Since 1999, he has been the Legal Editor of Waste Age magazine (now Waste 360) where his column appears each month.  His professional affiliations include membership in the International Municipal Lawyers Association.  He is licensed in Illinois, Maryland and the District of Columbia and has qualified to practice in a number of federal district and appeals courts and before the U.S. Supreme Court.
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
        <tr>
            <td colspan=""2"" style=""text-align: left; vertical-align: top;"">
            </td>
        </tr>
    </tbody>
</table>",RTZW
Safety and Utilization<br />Building a Safety Program and Culture in the Landfill Gas Industry,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
            <br>
            <strong> ABSTRACT:</strong><br>
            Coming Soon<br>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Mark Hill"" src=""http://www.swana.org/Portals/0/events/speakers/MarkHill.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            Mark Hill is an operations director for DTE Biomass Energy and has been with the company for more than 10 years. He oversees seven landfill gas to energy projects including power generation, direct use and high-BTU (renewable natural gas).  In this role, he is responsible for safety, daily operations, contract negotiations, wellfield management and personnel management.  Mark has been heavily involved in continuous improvement projects for the CAT 3520 fleet, best wellfield management practices and building DTE Biomass Energy's safety culture.  Prior to joining DTE Biomass Energy, Mark was a Cavalry Troop Commander during Operation Iraqi Freedom, leading 80 soldiers conducting convoy escort missions.  Additionally, Mark has worked as an analyst in the cement and coal industries.  Mark has a Bachelor of Arts degree in economics from Dartmouth College and a Master's degree in business administration from the Ross School of Business at the University of Michigan.
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
    </tbody>
</table>",LGB
Safety and Utilization<br />St. Landry Parish BioCNG Goes Mobile with a Satellite Renewable Natural Gas Fueling Outpost,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
            <br>
            <strong> ABSTRACT:</strong><br>
            Summary<br>
            St. Landry Parish Solid Waste Disposal District developed a BioCNG processing and fueling station for district vehicle fueling.  Production capability was not fully used, and additional LFG was flared. The district negotiated a contract with its waste collection contractor to purchase BioCNG fuel. The agreement allowed the contractor to purchase a new CNG fleet and the district to develop the first satellite CNG fueling outpost supplied by a transport trailer filled at its primary (landfill) location.<br>
            <br>
            Description<br>
            St. Landry Parish Solid Waste District installed a BioCNG biogas processing system in 2012 to make compressed natural gas (CNG) vehicle fuel for municipal vehicles, including Sheriff's Department cars, light duty trucks and a light duty van, and the solid waste district's utility trucks. The award winning project came about due to the district's 2008 decision to invest in a landfill gas (LFG) collection and flaring system to market greenhouse gas (GHG) offsets. That successful voluntary project provided an opportunity to find a beneficial use for the gas. After evaluating the potential beneficial uses for the collected LFG, the dDistrict deemed the biogas-to-vehicle fuel project to be the most economical choice. The SW District continued to expand its CNG vehicle fleet. As a result of the growing fleet, coupled with their history of fueling, the district worked on plans to expand its fueling capacity contemplating further growth in the use of biogas as a vehicle fuel. The best way to economically grow the BioCNG program was to increase CNG fuel demand. Parish residents embraced the original fueling concept, and some of the local communities have expressed a desire to have the BioCNG vehicle fuel available at a convenient off site location. However, this fuel demand alone would not allow the district to expand the system.  The district did recognize Progressive Waste Solutions, the Parish's solid waste hauler, as a potential CNG user, but all of the existing vehicles were diesel powered. Due to hard work and diligence by the district, a mutually beneficial agreement was reached with Progressive for that company to convert its waste hauling fleet to CNG and commit to purchase a satisfactory volume of landfill derived CNG. One requirement of the CNG purchase agreement was for the district to have an un-interruptible CNG supply for the trucks. Adding backup natural gas to the landfill's BioCNG fueling station was not an option due to the distance to the nearest pipeline. The district decided to install an off-site CNG fueling station (satellite site) that would be supplied by the use of a CNG tube trailer filled at the landfill fueling station (primary site). The satellite site would have backup natural gas in the event that BioCNG was not available. This primary/satellite system also provides an off-site BioCNG source in the most populated Parish community and will be made available to the general public. This is the first development of a primary/satellite mobile fueling station that utilizes biogas derived CNG as the primary fuel source.<br>
            <br>
            Following this presentation, participants will be able to...<br>
            1)  understand economic and physical considerations for expansion of the BioCNG processing facility<br>
            2)   create a win __ win solution in developing a CNG vehicle fuel demand<br>
            3)   understand logistics of providing BioCNG fuel to a remote location
            <br>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Steven Wittmann"" src=""http://www.swana.org/Portals/0/events/speakers/SteveWittman.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            Steven Wittmann has more than 40 years of experience in the environmental investigation, engineering and construction field. Along with his extensive consulting experience, he was a past owner and president of a design-build environmental construction company. His experience includes investigating, permitting and construction of landfill gas control and energy recovery projects.  He has managed six biogas to compressed natural gas (CNG) vehicle fuel projects, along with electrical generation projects.
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
    </tbody>
</table>",LGB
Safety and Utilization<br />Onsite Leachate Destruction by Utilizing Landfill Gas and Leachate Evaporator Technology,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
            <br>
            <strong> ABSTRACT:</strong><br>
            Summary<br>
            An ongoing problem  that exists in many landfills throughout the country is the disposal of landfill leachate. Many landfills are running out of options of what to do with this ongoing issue and are turning to leachate evaporation that utilized landfill gas as a fuel source to evaporate the volumes that once were having to be hauled to local treatment facilities.<br>
            <br>
            Description<br>
            The development and implementation of the Subtitle D rules in the mid-1990s have dramatically improved waste handling and disposal practices in the United States. These regulations have improved human health and the environment where waste management intersects with our lives. Significant reductions in contamination of ground water and air quality, as well as disease carrying vectors and nuisance odors are attributable to improved design, construction, and operation of landfills under Subtitle D. These regulations also have presented challenges related to the costs of these operations.  Not the least of these is related to leachate management.  Collecting, storing and disposing of leachate in an environmentally responsible manner can be very burdensome and costly to the operation of a Subtitle D landfill. This presentation discusses problems encountered by one Subtitle D facility in South Carolina, one in Alabama and how they are reviewing the technology that was utilized on a Subtitle D facility in North Carolina that had similar problems. We will discuss the process of evaluating the various solutions that these sites investigated, judging both economic and technical feasibility criteria. Attempts to partner with local municipalities to extend service to the landfill were made, and programs including recirculation and pump/haul disposal were implemented at various times or not allowed.  While each of these approaches showed promise at times, economic and other issues also presented new problems to be dealt with. This led the facility in North Carolina to explore a program it had evaluated previously; leachate evaporation. The landfill engaged in conversations with a third-party developer/operator of leachate evaporators. These conversations quickly turned into negotiations for turn-key management of a leachate evaporator with a capacity of 34,000 gallons per day using landfill gas as its sole source of fuel.  Several steps went into the project, from both solid waste and air permitting modifications, agreement negotiation, to evaluation of existing leachate quality, design of the evaporation facility, management of residual material, operator selection and training, and startup. This project has been running continuously and steadily for more than three years now.  Future plans are for possible expansion of the project using techniques currently under development to capture waste heat from landfill gas to power generators currently installed and operating.   Just recently, the site in North Carolina has conducted additional testing on the particular matter that is generated in the evaporation process which is then discharged to the atmosphere and the findings also are discussed in the presentation.<br>
            <br>
            Following this presentation, participants will be able to...<br>
            1)  see how at one time the problem with disposal of leachate on their landfills can now be destroyed safely and cost efffectively by utilizing a resource that they are producing already on the landfill.
            <br>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Daniel DeArment"" src=""http://www.swana.org/Portals/0/events/speakers/DanielDeArment.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            Daniel is a graduate of Penn State with a Bachelor's degree in civil engineering. He has 28 years of experience in many aspects of the solid waste industry, including environmental engineering, cell and cap construction, leachate and landfill gas management and general management of two landfills in Ohio. For the past 15 years, he has been the general manager of LFG Specialties, a division of CB&amp;I.
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""David Pepper"" src=""http://www.swana.org/Portals/0/events/speakers/DavidPepper.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            David Pepper holds a Bachelor of Science degree in professional geology from Louisiana University. He has more than 28 years of experience in the solid waste industry working primarily in the areas of landfill development and operations. David serves as vice chair of the Carolinas Chapter of National Waste &amp; Recycling Association (NWRA), and is a member of Legislative Sub-Committee of NWRA Carolinas Chapter, and an EFEF Council member. David holds a SWANA certification as a Manager of Landfill Operations and also a South Carolina Department of Health and Environmental Control ""Landfill Manager"".
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
    </tbody>
</table>",LGB
Overcoming Roadblocks to Zero Waste<br />Identifying the Next Step to Achieve Zero Waste,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
<strong> ABSTRACT:</strong><br>
            Many programs that can be employed to assist with achieving zero waste.  Whether the next program will target food scraps, construction and demolition debris, textiles or other material varies from community to community.  We will discuss the process to determining your next step to achieving zero waste. First, you must understand the feedstock, including potential sources and estimated quantities of material, that can be diverted. Next, we will consider impacts to collection operations which can include expanding municipal operations or contracting for such services with private vendors. Our facilitated discussion will consider processing options including the potential for a new processing facility. The discussion of processing facilities will include both permitting and operational regulations. Lastly, you must understand the estimated quantity of product that will be produced as well as demand from potential end markets. We will share case studies that have utilized a thorough feasibility analysis approach in determining the next step to increasing diversion. The facilitated discussion along with the case studies are intended to show that a thorough planning approach can assist with ensuring the success of the next program you pursue in achieving your community's  zero waste plan.
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Veronica Roof"" src=""http://www.swana.org/Portals/0/events/speakers/VeronicaRoof.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            <p>Veronica Roof, a legally trained environmental consultant, has focused her career on assisting state and local governments with solid waste management and resource recovery objectives. Veronica has conducted recycling and waste minimization studies focused on evaluating recycling collection and processing infrastructure options for local, state agencies and federal military installations nationwide. She has worked with many communities to help them evaluate the costs and values associated with their recycling programs. These projects have included recycling feasibility and contracting projects. As part of the funded by a grant from U. S. Environmental Protection Agency Region 4, Veronica developed a Source Separated Organics Collection Performance Model, a Microsoft Excel based model, designed to assist local governments and other users through decisions related to collecting organics from residents and estimating the operational, diversion, financial, and greenhouse gas impacts resulting from implementing a residential SSO collection program. She is a licensed attorney in the State of Georgia and a member of the Environmental Law Section and Local Government Section of the State Bar of Georgia.</p>
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
        <tr>
            <td colspan=""2"" style=""text-align: left; vertical-align: top;"">
            </td>
        </tr>
    </tbody>
</table>",RTZW
Overcoming Roadblocks to Zero Waste<br />Herding Cats-Getting People to Work Together,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
<strong> ABSTRACT:</strong><br>
            This presentation will demonstrate what long-term strategic planning, historically prudent financial management, utilization of existing infrastructure, beneficial timing, a dedicated appointed Board of Directors and some visionary staff leadership  can bring about with a focus on creating a true ""Zero Waste"" facility.<br>
            Starting in 2010, the Monterey Regional Waste Management District realized the need to plan for the next generation of its recycling system. State legislation and regulatory agencies made clear a statewide 75% recycling goal. In 2014, the District's debt from its 1996 MRF would be paid off and the MRF would require upgrades. In 2015, the franchise agreements in seven of its member communities would expire.  The key to success was to work regionally to develop a unified vision while respecting the unique character and needs of each community. The District engaged HF&amp;H Consultants to work with the District and member communities to define the goals and the methods for achieving them, including: 1) new infrastructure to support processing of all waste, recycling, organics, and C&amp;D in the region; 2) recovery of energy and fuel products; 3) competitive procurement for franchise collection services; and, 4) a business model that aligns with a future with less waste.  The presentation will describe the features of the new system that enable the achievement of the highest levels of material recovery seen anywhere in the U.S. while preserving the value of recyclable and organic commodity.  HF&amp;H describe the planning and franchise procurement process. MRWMD will present the state-of-the-industry infrastructure that will provide the backbone for the next twenty to thirty years of recovery programs. GreenWaste Recovery will provide the hauler and community engagement perspective, describing how the plan is manifested on a daily basis when working with residents and businesses.<br>
            Complete the sentence:  _Following this presentation, participants will be able to..._<br>
            1)   learn from mistakes and challenges in developing this process<br>
            2)    identify key stakeholders for support and development of project arguments<br>
            3)   develop process and timetable for successful project implementation in your rspective areas<br>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img alt=""Tim Flanagan"" src=""http://www.swana.org/Portals/0/events/speakers/TimFlanagan.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong><br>
            Tim Flanagan has been in the recycling and solid waste field for  more than  30 years. Tim's public sector experience  started with the award winning City of Palo Alto in  its recycling and landfilling operations. He also  worked  for the County of Santa Clara in its Solid Waste Planning Department. Tim's private sector experience spanned 17 years with Waste Management , Inc., serving as their Western Region director of recycling  and as a eistrict manager for a variety of collection, recycling  and transfer station operations covering northern and southern California. Tim is the  general manager for the MRWMD and has oversight for all the district operations including the MRF recycling and composting operations, landfill gas-to-energy plant, equipment maintenance, HHW and Last Chance Mercantile, engineering  and landfill site operations.  Tim is a SWANA-certified MOLO Landfill Operator, and is the past director of the Recycling and Special Waste Technical Division. He is the Recycling and Special Waste Technical Division representative on the SWANA International Board.  He is a director for the Gold Rush Chapter for SWANA  and a former president of the Chapter.  He is a Board member of Leadership Monterey Peninsula, a local community leadership and training program, and is a member of the Cannery Row Rotary club. Tim holds a Bachelor of Arts in public policy and economics from the    University of California Santa Barbara.
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img alt=""Rob Hilton"" src=""http://www.swana.org/Portals/0/events/speakers/RobertHilton.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            <p>Rob Hilton is a vice president with HF&amp;H Consultants and the current president of the California Resource Recovery Association. With nearly 15 years of experience in consulting, he has worked with more than 110 government agencies through more than 300 projects with a focus on planning, design, procurement and financial structures of integrated waste management systems focused on reducing landfill disposal and increasing reuse, recycling, and composting.  Rob is an active member of the Board of Directors of the California Resource Recovery Association  and a member of the Institute of Management Consultants (IMC), American Management Association (AMA), as well as SWANA.</p>
            </td>
        </tr>
        <tr>
            <td colspan=""2"" style=""text-align: left; vertical-align: top;"">
            </td>
        </tr>
    </tbody>
</table>",RTZW
Overcoming Roadblocks to Zero Waste<br />SWANA's Zero Waste Certification Course,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
<strong> ABSTRACT:</strong><br>
            SWANA is partnering with the California Resource Recovery Association to develop a Zero Waste Principles and Practices Certification Course.  The course is being developed by Kessler Consulting with significant input from project team members and reviewers from across North America. Don Ross will discuss the course parameters, outline and progress to date as well as lessons learned in the development thus far.
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Mitch Kessler"" src=""http://www.swana.org/Portals/0/events/speakers/MitchKessler.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            <p>Mitch Kessler, president of Kessler Consulting, Inc. (KCI), has more than 30 years in the solid waste
            industry and has been responsible for more than 300 projects pertaining to comprehensive waste
            management, collection, recycling, and composting programs for municipalities, institutions, and
            private organizations. Mitch is a nationally recognized expert in the procurement and operations of solid waste collection systems and materials recovery programs and facilities and is especially knowledgeable in collection and market development issues as they relate to the economic viability of solid waste and recycling programs. Mitch has assisted many clients with developing strategic partnerships, public_public and public_private, to leverage capabilities. Mitch is the president of the SWANA Florida Sunshine Chapter and earned the prestigious Professional Achievement Award for the Private Sector in 2012. His firm was the prime contractor for developing the SWANA Manager of Recycling Systems certification course development team. Mitch brings extensive experience in public speaking and engaging audiences of various sizes, backgrounds, and demographics.
            Mitch earned his degree in environmental law from the University of New Hampshire and holds
            a Master's degree in American studies and a Bachelor's of Science degree in management from Purdue University.</p>
            <p style=""text-align: left;"">
            </p>
            </td>
        </tr>
        <tr>
            <td colspan=""2"" style=""text-align: left; vertical-align: top;"">
            </td>
        </tr>
    </tbody>
</table>",RTZW
Self-Sustaining Thermal Reactions at Landfills - Hypotheses and Symptoms,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
            <br>
            <strong> ABSTRACT:</strong><br>
            Self-sustaining thermal reactions at landfills can be a major event for owners of such sites. The current state of knowledge of the processes occurring in these events is not well developed.  Several hypotheses have been advanced, formally or informally, for the heat-producing reactions occurring at these sites.  This presentation will describe a spreadsheet that computes temperature profiles, and results match temperature data from hot sites (R2&gt;0.9, n&gt;5.) The spreadsheet is based on an assumption of homogeneous heat generation with depth and that assumption is not consistent with reactive metals, smoldering combustion, or pressure-induced reactions as heat sources.
            <br>
            <br>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Henry Kerfoot"" src=""http://www.swana.org/Portals/0/events/speakers/HenryKerfoot.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            <p style=""text-align: left;"">
            Henry Kerfoot has more than 30 years of experience in characterizing subsurface reactions and transport processes and has worked on elevated temperatures at landfills since 2006. In 2014, a major landfill firm turned to him for development of an evaluation of two cooling methods for waste with elevated temperatures, and that work is ongoing. He has developed analytical models for heat transport in waste to allow prediction of deeper temperatures from shallow temperature data and methods for evaluation of the performance of cooling methods. He recently completed design of an interception barrier to allow continued operation of a landfill that has elevated temperatures from exothermic reactions. In addition to heat transport, he has evaluated groundwater transport of contaminants and migration of landfill gas. He was the originator of the concept of landfill gas rather than leachate as the source of volatile organic compounds in groundwater and has obtained regulatory approval for natural attenuation of landfill gas impacts on groundwater in California and for groundwater contaminants ranging from coal ash constituents to uranium in various other states.  He has worked on landfills in Australia and has obtained regulatory approval of natural attenuation of landfill gas migration in both the U.S. and Australia.
            </p>
            </td>
        </tr>
    </tbody>
</table>",LF
LMOP Workshop<br />Trends in Beneficial Use of Landfill Gas and Potential Impacts of Organics Diversion,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
            <br>
            <strong> ABSTRACT:</strong><br>
            EREF estimates 382.5 million tons of MSW was generated in 2013 with 66% of this waste being landfilled.  It is the biodegradable organics in this waste mass that are broken down anaerobically to create biogas consisting of methane and carbon dioxide.  Of the 251.3 million tons of MSW placed in landfills, roughly 43% is biodegradable.  The majority of the biodegradable waste material placed in a landfill consists of food waste, yard waste and wood or woody materials.<br>
             <br>
            While the biogas generated in a landfill can contribute to global warming, methane also has the potential to be beneficially used for heat, fuel or electricity.  In a landfill, the extent to which biogas can beneficially utilized is based on factors such as the waste composition going to the landfill, volume of biogas generated, the existence of a gas collection system, and other factors such as market demand for certain types of biogas products (i.e. electricity, compressed natural gas, heat).  While estimates have been made to assess the extent to which landfill gas is being collected and utilized (e.g. LMOP, GHG reporting tool), more detailed assessments to understand metrics, such as the fraction of placed MSW tonnage that go to landfills with beneficial gas use, have been more fragmented.<br>
             <br>
            EREF has conducted a study that evaluated landfill gas utilization practices of roughly 1,500 active landfills.  The primary objective of this work was to understand to what extent landfill gas is being beneficially used, what primary end uses are being employed, and the extent of differences in private versus publicly owned operations.   Results suggest that approximately 85% of tonnage going to landfills in the U.S. is being placed in landfills that have gas collection systems and that, of this, roughly 75% of the landfill gas is being beneficially used.  Significant policy changes are occurring in various states that have the potential to drastically change the landscape of landfill gas to energy.  These recent trends in organics diversion policy include restrictions and bans on organics going to landfills.  Part of the analysis performed evaluates the impact on landfill gas generation and utilization if increasing diversion occurs over time.  Additionally, results from life cycle analyses will be compared in this presentation as well that look at relative impacts in using landfill gas to energy systems versus other options such as anaerobic digestion, composting.            <br>
            <br>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Bryan Staley"" src=""http://www.swana.org/Portals/0/events/speakers/BryanStaley.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            <p style=""text-align: left;"">
            Dr. Bryan Staley currently serves as president and CEO of the Environmental Research and Education Foundation (EREF), one of the largest sources of research and scholarships related to solid waste management.  He joined the EREF in 2008, where he started as vice-president of environmental programs, and has 21 years of experience in the environmental engineering field.  He is recognized nationally as technical expert in sustainable solid waste management issues and holds degrees from N.C. State University (PhD, B.S.) and the University of Tennessee (M.S.).  In addition to his leadership responsibilities, Dr. Staley plays an active role in the Foundation's internal research program, where he provides thought leadership, oversight and data analysis. Dr. Staley is a licensed professional engineer has held key positions in consulting firms as a project manager and vice-president of engineering where he managed projects ranging from solid waste management, wastewater treatment system design, to retail/commercial land development and environmental management of large-scale livestock operations.
            </p>
            </td>
        </tr>
    </tbody>
</table>",LMOP
LMOP Workshop<br />What is the Value of Landfill Gas to Energy in the Future Electric Energy Marketplace?,"<table>
    <tbody>
        <tr>
            <td style=""text-align: left; vertical-align: top;"" colspan=""2"">
            <br>
            <strong> ABSTRACT:</strong><br>
            This presentation will cover current electric industry market conditions, due to renewable and natural gas prices and the short-term volatility of the markets. The speaker will address the increasing demand for green, renewable energy and its distribution. Energy capacity and the electric utility industry are impacted by the current low natural gas prices, which puts some consumers at risk and benefits others. What changes may lie ahead? <br>
            <br>
            </td>
        </tr>
        <tr>
            <td style=""text-align: center; vertical-align: top;"">
            <p style=""text-align: left;""><img style=""width: 200px; height: auto;"" alt=""Michael Bedley"" src=""http://www.swana.org/Portals/0/events/speakers/MichaelBedley.png"">
            </p>
            </td>
            <td style=""text-align: left; vertical-align: top;"">
<strong>BIO:
            </strong>
            <p style=""text-align: left;"">
            Michael D. Bedley graduated in 1986 from the Georgia Institute of Technology with a
            Bachelor of Science degree in mechanical engineering. In 1992, he graduated from the NOVA Southern University with a Master of Business Administration. Since 1982, he has been involved in the electric utility and power generation areas with more than 30 years of experience in the industry, which included various engineering, financial, managerial, and consulting specialist positions. Since 1995, his responsibilities at APEX Power Services Corp. have included providing consulting services to Fortune 500 companies. His current work with APEX includes negotiating PPA agreements, lender and other commercial/regulatory issues surrounding power production, renewable energy generation/development, providing state commission witness expertise regarding renewable energy portfolio standards, efficiency/energy recovery and financial balancing among stakeholders and electric energy production. Along with his involvement in APEX, he also acts as an on-air TV/radio expert and provides information and resources for CNBC, Nightly Business Report, The Associated Press, national trade publications, and several newspapers including the USA Today, Tribune, and Wall Street Journal in areas pertaining to electric utility deregulation, regulation and free market competition.
            </p>
            </td>
        </tr>
    </tbody>
</table>",LMOP
